#{"t_start": 1672722784.839178, "env_id": null}
r,l,t
-3.7,386,30877.1449
-3.9,382,30883.689808
-3.55,389,30890.523439
229.75,4535,31010.551634
-3.45,391,31017.300947
-3.25,395,31024.073118
-3.1,398,31030.996928
-2.95,401,31037.944414
181.6,3612,31157.960807
-4.25,375,31164.441147
-4.45,371,31170.881436
249.75,4855,31290.926404
-3.4,392,31297.732216
-4.4,372,31304.200381
-4.4,372,31310.653235
236.2,4604,31430.709038
-4.45,371,31437.149786
-4.05,379,31443.633936
-2.1,418,31450.716751
-3.05,399,31457.520883
266.7,5194,31577.556217
-4.45,371,31583.971375
194.3,3826,31704.012943
-3.35,393,31710.834194
-3.65,387,31717.738017
285.6,5632,31853.499185
-3.7,386,31860.188185
311.65,6233,31980.210651
183.95,3619,32100.225387
-3.45,391,32107.031559
313.15,6263,32227.036779
184.5,3610,32347.071819
-3.7,386,32353.530233
240.15,4783,32473.559816
-2.8,404,32480.358513
-2.45,411,32487.252924
-3.8,384,32493.706603
-3.1,398,32500.392452
215.6,4172,32621.219304
-4.0,380,32627.759189
-2.85,403,32634.646584
-2.7,406,32641.541535
-3.25,395,32648.407046
-4.5,370,32654.871342
269.2,5244,32774.88128
-2.95,401,32781.834864
-3.1,398,32788.745028
237.3,4666,32908.798574
-3.15,397,32915.700775
-3.7,386,32922.394449
-4.25,375,32928.912978
-3.15,397,32935.837089
245.6,4712,33055.857736
-3.25,395,33062.728496
-4.4,372,33069.155042
-3.45,391,33075.959739
241.15,4863,33195.994418
-3.3,394,33202.83035
-4.4,372,33209.273406
-3.15,397,33216.187103
-4.1,378,33222.77677
237.4,4628,33342.81586
-3.25,395,33349.688908
-4.35,373,33356.142731
-4.2,376,33362.69674
-3.35,393,33369.531304
272.65,5313,33489.547174
-4.15,377,33496.112094
221.4,4348,33616.118641
249.5,4990,33736.159975
-3.1,398,33743.080883
-2.9,402,33750.008713
248.15,4763,33874.557744
-4.15,377,33881.171012
-2.9,402,33888.116109
-3.25,395,33895.002123
-4.05,379,33901.576613
-4.5,370,33908.03787
233.15,4463,34028.041657
-3.45,391,34034.792549
-3.2,396,34041.679513
-4.5,370,34048.238988
-2.8,404,34055.172638
244.6,4852,34175.209263
-3.2,396,34182.053478
-4.45,371,34188.508289
-6.25,395,34195.375785
234.45,4729,34315.39558
-4.4,372,34321.856117
-3.05,399,34328.766287
-3.05,399,34335.680275
-2.95,401,34342.626708
246.5,4850,34462.668785
188.6,3692,34582.703092
-4.45,371,34589.123777
-4.3,374,34595.610805
-3.3,394,34602.448944
-3.6,388,34609.195723
241.55,4871,34729.209393
212.7,4114,34849.231935
-2.85,403,34856.190651
-2.95,401,34863.099376
-3.0,400,34869.953185
-3.25,395,34876.725657
245.8,4716,34996.739478
-3.1,398,35003.654571
-3.1,398,35010.558225
-3.3,394,35017.398984
237.2,4724,35137.447871
-2.8,404,35144.205037
-2.45,411,35151.092502
-2.55,409,35157.945794
-2.55,409,35164.789317
254.65,4893,35284.836651
-2.8,404,35291.64882
-2.4,412,35298.569357
-3.0,400,35305.2716
269.9,5258,35425.314781
-2.95,401,35432.202106
191.2,3844,35552.238079
-3.55,389,35558.943482
-3.4,392,35565.694882
297.1,5742,35702.219577
-3.2,396,35709.089281
269.05,5241,35829.137622
-3.6,388,35835.833407
-4.55,369,35842.265435
233.95,4599,35962.273658
-3.15,397,35969.142004
-3.0,400,35976.068158
-2.95,401,35982.986513
-2.95,401,35989.923071
271.25,5305,36109.944509
-2.9,402,36116.897494
-4.3,374,36123.367752
197.5,3890,36243.351207
-3.4,392,36249.89497
273.65,5333,36369.910945
-3.5,390,36376.445194
-3.75,385,36382.899624
